dc_identifier,eid,prism_doi,pii,pubmed_id,orcid,link_self_href,link_scopus_href,link_scopus_citedby_href,prism_url,dc_title,first_author_name,prism_publicationname,prism_aggregationtype,prism_issn,prism_isbn,prism_volume,prism_issueidentifier,prism_pagerange,prism_coverdate,publication_year,publication_month,prism_coverdisplaydate,citedby_count,subtype,subtypedescription,first_affiliation_name,openaccess
SCOPUS_ID:86000426557,2-s2.0-86000426557,10.1080/10963758.2023.2200003,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000426557,Effect of Hospitality and Tourism Students’ Perceived Skills on Career Adaptability and Perceived Employability,Tavitiyaman P.,Journal of Hospitality and Tourism Education,Journal,10963758,nan,37,1,43-54,2025-01-01,2025,1,,16,ar,Article,,0
SCOPUS_ID:85181465901,2-s2.0-85181465901,10.1080/15623599.2023.2299557,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85181465901,Analysing multifaceted barriers to modular construction in sustainable building projects: a comprehensive evaluation using multi-criteria decision making,Hassan Ali A.,International Journal of Construction Management,Journal,15623599,nan,25,1,1-17,2025-01-01,2025,1,,16,ar,Article,,0
SCOPUS_ID:85165447180,2-s2.0-85165447180,10.1108/ECAM-02-2023-0168,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85165447180,"Barrier identification, analysis and solutions of blockchain adoption in construction: a fuzzy DEMATEL and TOE integrated method",Wu H.,"Engineering, Construction and Architectural Management",Journal,09699988,nan,32,1,409-426,2025-01-02,2025,1,,16,ar,Article,,0
SCOPUS_ID:85203662016,2-s2.0-85203662016,10.1016/j.jcis.2024.09.020,S0021979724020782,39276517,,,,,https://api.elsevier.com/content/abstract/scopus_id/85203662016,Mild near-infrared laser-triggered photo-immunotherapy potentiates immune checkpoint blockade via an all-in-one theranostic nanoplatform,Fan Y.,Journal of Colloid and Interface Science,Journal,00219797,nan,678,,1088-1103,2025-01-15,2025,1,,15,ar,Article,,0
SCOPUS_ID:85213965042,2-s2.0-85213965042,10.1038/s41467-024-55030-2,,39747851,,,,,https://api.elsevier.com/content/abstract/scopus_id/85213965042,Hybrid electromagnetic and moisture energy harvesting enabled by ionic diode films,Gao Z.,Nature Communications,Journal,,nan,16,1,,2025-12-01,2025,12,,13,ar,Article,,1
SCOPUS_ID:85181215482,2-s2.0-85181215482,10.1177/00472875231217899,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85181215482,Perceived Intelligence of Artificially Intelligent Assistants for Travel: Scale Development and Validation,Ling E.C.,Journal of Travel Research,Journal,00472875,nan,64,2,299-321,2025-02-01,2025,2,,13,ar,Article,,1
SCOPUS_ID:85178395355,2-s2.0-85178395355,10.1177/00472875231214196,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85178395355,ChatGPT for Trip Planning: The Effect of Narrowing Down Options,Shin S.,Journal of Travel Research,Journal,00472875,nan,64,2,247-266,2025-02-01,2025,2,,13,ar,Article,,1
SCOPUS_ID:105002340482,2-s2.0-105002340482,10.1108/K-06-2023-1126,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002340482,ChatGPT: a game changer for knowledge management in organizations,Sumbal M.S.,Kybernetes,Journal,0368492X,nan,54,6,3217-3237,2025-04-11,2025,4,,13,ar,Article,,0
SCOPUS_ID:86000714466,2-s2.0-86000714466,10.1177/10963480231223151,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000714466,Tourism and Hospitality Forecasting With Big Data: A Systematic Review of the Literature,Wu D.C.,Journal of Hospitality and Tourism Research,Journal,10963480,nan,49,3,615-634,2025-03-01,2025,3,,12,ar,Article,,1
SCOPUS_ID:85215085575,2-s2.0-85215085575,10.1016/j.energy.2025.134511,S0360544225001537,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85215085575,Unlocking the flexibilities of data centers for smart grid services: Optimal dispatch and design of energy storage systems under progressive loading,Zhang Y.,Energy,Journal,03605442,nan,316,,,2025-02-01,2025,2,,12,ar,Article,,1
SCOPUS_ID:85214533543,2-s2.0-85214533543,10.1016/j.ensm.2025.104012,S2405829725000133,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85214533543,Interfacial dual-modulation through deoxygenation effect and tuning hydrogen-bonding environment toward highly reversible Zn metal anodes,Li C.,Energy Storage Materials,Journal,,nan,75,,,2025-02-01,2025,2,,12,ar,Article,,0
SCOPUS_ID:85207648930,2-s2.0-85207648930,10.1016/j.ijmecsci.2024.109783,S0020740324008245,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85207648930,Neural network-augmented differentiable finite element method for boundary value problems,Wang X.,International Journal of Mechanical Sciences,Journal,00207403,nan,285,,,2025-01-01,2025,1,,12,ar,Article,,0
SCOPUS_ID:85198655181,2-s2.0-85198655181,10.1111/jifm.12218,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85198655181,Go green: How does Green Credit Policy promote corporate green transformation in China,Tan W.,Journal of International Financial Management and Accounting,Journal,09541314,nan,36,1,38-67,2025-02-01,2025,2,,12,ar,Article,,0
SCOPUS_ID:85197592736,2-s2.0-85197592736,10.1109/TSG.2024.3419086,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85197592736,Resilience-Oriented Coordinated Topology Reconfiguration of Electricity and Drainage Networks With Distributed Mobile Emergency Resources,Cao Y.,IEEE Transactions on Smart Grid,Journal,19493053,nan,16,1,786-800,2025-01-01,2025,1,,12,ar,Article,,0
SCOPUS_ID:85147155700,2-s2.0-85147155700,10.1177/10963480221149595,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85147155700,Psychological Well-Being in Tourism Live Streaming: A Grounded Theory,Zhang A.,Journal of Hospitality and Tourism Research,Journal,10963480,nan,49,1,84-98,2025-01-01,2025,1,,12,ar,Article,,0
SCOPUS_ID:105001059673,2-s2.0-105001059673,10.1177/09520767231188229,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105001059673,Making governance agile: Exploring the role of artificial intelligence in China’s local governance,Li Y.,Public Policy and Administration,Journal,09520767,nan,40,2,276-301,2025-04-01,2025,4,,12,ar,Article,,1
SCOPUS_ID:85210099207,2-s2.0-85210099207,10.1016/j.corsci.2024.112592,S0010938X24007881,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85210099207,Insights into corrosion behavior of Mg alloys containing long-period stacking ordered structure in chloride and sulfate media,Xie J.,Corrosion Science,Journal,0010938X,nan,243,,,2025-02-01,2025,2,,11,ar,Article,,0
SCOPUS_ID:85209661215,2-s2.0-85209661215,10.1016/j.energy.2024.133581,S0360544224033590,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85209661215,Application of hybrid machine learning algorithm in multi-objective optimization of green building energy efficiency,Zhu Y.,Energy,Journal,03605442,nan,316,,,2025-02-01,2025,2,,11,ar,Article,,0
SCOPUS_ID:85207369888,2-s2.0-85207369888,10.1002/anie.202414650,,39206502,,,,,https://api.elsevier.com/content/abstract/scopus_id/85207369888,Spiral-Concave Prussian Blue Crystals with Rich Steps: Growth Mechanism and Coordination Regulation,Zhang G.,Angewandte Chemie - International Edition,Journal,14337851,nan,64,2,,2025-01-10,2025,1,,11,ar,Article,,0
SCOPUS_ID:85191876750,2-s2.0-85191876750,10.1108/IJCHM-07-2023-1072,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85191876750,Determinants of approach behavior for ChatGPT and their configurational influence in the hospitality and tourism sector: a cumulative prospect theory,Han H.,International Journal of Contemporary Hospitality Management,Journal,09596119,nan,37,1,113-139,2025-01-02,2025,1,,11,ar,Article,,0
SCOPUS_ID:85188252906,2-s2.0-85188252906,10.1080/15623599.2024.2320979,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85188252906,Application of Ginni’s mean analysis for identifying the stationary driver enhancing modular construction adoption in the building industry,Ali A.H.,International Journal of Construction Management,Journal,15623599,nan,25,3,322-333,2025-01-01,2025,1,,11,ar,Article,,0
SCOPUS_ID:85217153959,2-s2.0-85217153959,10.1038/s41563-024-02087-5,,39880932,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217153959,Non-fullerene acceptors with high crystallinity and photoluminescence quantum yield enable &gt;20% efficiency organic solar cells,Li C.,Nature Materials,Journal,14761122,nan,24,3,433-443,2025-03-01,2025,3,,10,ar,Article,,0
SCOPUS_ID:85202860556,2-s2.0-85202860556,10.1016/j.jechem.2024.08.011,S209549562400559X,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85202860556,"High-energy–density lithium manganese iron phosphate for lithium-ion batteries: Progresses, challenges, and prospects",Zhang B.,Journal of Energy Chemistry,Journal,20954956,nan,100,,1-17,2025-01-01,2025,1,,10,re,Review,,0
SCOPUS_ID:85202788932,2-s2.0-85202788932,10.1016/j.jcis.2024.08.216,S0021979724019982,39226835,,,,,https://api.elsevier.com/content/abstract/scopus_id/85202788932,Electric-magnetic dual-gradient structure design of thin MXene/Fe<inf>3</inf>O<inf>4</inf> films for absorption-dominated electromagnetic interference shielding,Zhang H.,Journal of Colloid and Interface Science,Journal,00219797,nan,678,,950-958,2025-01-15,2025,1,,10,ar,Article,,0
SCOPUS_ID:85199697170,2-s2.0-85199697170,10.1016/j.ymssp.2024.111750,S0888327024006484,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85199697170,Classifier-guided neural blind deconvolution: A physics-informed denoising module for bearing fault diagnosis under noisy conditions,Liao J.X.,Mechanical Systems and Signal Processing,Journal,08883270,nan,222,,,2025-01-01,2025,1,,10,ar,Article,,0
SCOPUS_ID:85196365677,2-s2.0-85196365677,10.1016/j.seppur.2024.128291,S1383586624020306,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85196365677,Electric-field activating on-surface tailored (OST) coarse polyester fibers for efficient airborne particle removal: Interfacial morphologies and electrical response,Gao Y.,Separation and Purification Technology,Journal,13835866,nan,353,,,2025-01-19,2025,1,,10,ar,Article,,0
SCOPUS_ID:85164572439,2-s2.0-85164572439,10.1108/ECAM-03-2023-0270,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85164572439,Trade-offs between accuracy and efficiency in BIM-LCA integration,Zheng B.,"Engineering, Construction and Architectural Management",Journal,09699988,nan,32,1,237-258,2025-01-02,2025,1,,10,ar,Article,,0
SCOPUS_ID:86000753776,2-s2.0-86000753776,10.1016/j.jrmge.2024.05.006,S1674775524002014,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000753776,A unique time-dependent deformation behavior of coral reef limestone,Wu K.,Journal of Rock Mechanics and Geotechnical Engineering,Journal,16747755,nan,17,3,1862-1875,2025-03-01,2025,3,,9,ar,Article,,1
SCOPUS_ID:85215620668,2-s2.0-85215620668,10.1063/5.0247783,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85215620668,Collision characteristics of neutral and highly charged droplets in uniform electric fields,Zhang M.,Physics of Fluids,Journal,10706631,nan,37,1,,2025-01-01,2025,1,,9,ar,Article,,0
SCOPUS_ID:85211178509,2-s2.0-85211178509,10.1002/adma.202413073,,39617987,,,,,https://api.elsevier.com/content/abstract/scopus_id/85211178509,Operando Studies Redirect Spatiotemporal Restructuration of Model Coordinated Oxides in Electrochemical Oxidation,Guan D.,Advanced Materials,Journal,09359648,nan,37,7,,2025-02-19,2025,2,,9,ar,Article,,0
SCOPUS_ID:85205821854,2-s2.0-85205821854,10.1002/anie.202415332,,39245786,,,,,https://api.elsevier.com/content/abstract/scopus_id/85205821854,Dipole Moment Modulation of Terminal Groups Enables Asymmetric Acceptors Featuring Medium Bandgap for Efficient and Stable Ternary Organic Solar Cells,Zou B.,Angewandte Chemie - International Edition,Journal,14337851,nan,64,3,,2025-01-15,2025,1,,9,ar,Article,,0
SCOPUS_ID:85203835474,2-s2.0-85203835474,10.1016/j.engstruct.2024.118777,S0141029624013397,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85203835474,Hybrid-self-centring damper for industrial structure: Development and experimental validation,Ke K.,Engineering Structures,Journal,01410296,nan,322,,,2025-01-01,2025,1,,9,ar,Article,,0
SCOPUS_ID:85199601390,2-s2.0-85199601390,10.1007/s00371-024-03570-5,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85199601390,EGDNet: an efficient glomerular detection network for multiple anomalous pathological feature in glomerulonephritis,Ali S.G.,Visual Computer,Journal,01782789,nan,41,4,2817-2834,2025-03-01,2025,3,,9,ar,Article,,0
SCOPUS_ID:86000378435,2-s2.0-86000378435,10.1080/02508281.2023.2223076,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000378435,Rural tourism in Bali: towards a conflict-based tourism resource typology and management,Rosalina P.D.,Tourism Recreation Research,Journal,02508281,nan,50,1,91-105,2025-01-01,2025,1,,8,ar,Article,,1
SCOPUS_ID:85214291839,2-s2.0-85214291839,10.1016/j.enconman.2024.119453,S0196890424013943,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85214291839,Broadband-spectrally selective polymeric film for building integrated photovoltaic (BIPV) skylights cooling,Pu J.,Energy Conversion and Management,Journal,01968904,nan,326,,,2025-02-15,2025,2,,8,ar,Article,,0
SCOPUS_ID:85207776165,2-s2.0-85207776165,10.1016/j.jechem.2024.10.001,S2095495624006910,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85207776165,Enhanced battery life prediction with reduced data demand via semi-supervised representation learning,Ma L.,Journal of Energy Chemistry,Journal,20954956,nan,101,,524-534,2025-02-01,2025,2,,8,ar,Article,,1
SCOPUS_ID:85205718727,2-s2.0-85205718727,10.1016/j.apenergy.2024.124614,S0306261924019974,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85205718727,Real-time gas explosion prediction at urban scale by GIS and graph neural network,Shi J.,Applied Energy,Journal,03062619,nan,377,,,2025-01-01,2025,1,,8,ar,Article,,0
SCOPUS_ID:85203161155,2-s2.0-85203161155,10.1016/j.rser.2024.114898,S1364032124006245,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85203161155,Hydrogen jet and diffusion modeling by physics-informed graph neural network,Zhang X.,Renewable and Sustainable Energy Reviews,Journal,13640321,nan,207,,,2025-01-01,2025,1,,8,ar,Article,,0
SCOPUS_ID:85186179074,2-s2.0-85186179074,10.1007/s10845-023-02283-1,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85186179074,A digital twin-assisted deep transfer learning method towards intelligent thermal error modeling of electric spindles,Ma S.,Journal of Intelligent Manufacturing,Journal,09565515,nan,36,3,1659-1688,2025-03-01,2025,3,,8,ar,Article,,0
SCOPUS_ID:85217658069,2-s2.0-85217658069,10.1016/j.jclepro.2025.144968,S095965262500318X,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217658069,Green and low-carbon matrices for Engineered/Strain-Hardening Cementitious Composites (ECC/SHCC): Toward sustainable and resilient infrastructure,Xu L.Y.,Journal of Cleaner Production,Journal,09596526,nan,496,,,2025-03-10,2025,3,,7,re,Review,,0
SCOPUS_ID:85216443556,2-s2.0-85216443556,10.1063/5.0251043,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85216443556,Raindrop formation in a thunderstorm mimicking environment under non-uniform electric field,Zhang M.,Physics of Fluids,Journal,10706631,nan,37,2,,2025-02-01,2025,2,,7,ar,Article,,0
SCOPUS_ID:85216003902,2-s2.0-85216003902,10.1016/j.mser.2025.100936,S0927796X25000130,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85216003902,Materials design of silicon based ceramic coatings for high temperature oxidation protection,Liu B.,Materials Science and Engineering R: Reports,Journal,0927796X,nan,163,,,2025-04-01,2025,4,,7,re,Review,,0
SCOPUS_ID:85214386902,2-s2.0-85214386902,10.1177/14759217241307575,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85214386902,A geometrical morphology-enhanced computer vision approach for structural health assessment,Li Y.,Structural Health Monitoring,Journal,14759217,nan,,,,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:85211182255,2-s2.0-85211182255,10.1016/j.jece.2024.115022,S2213343724031543,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85211182255,Sustainable stabilization/solidification of electroplating sludge using a low-carbon ternary cementitious binder,Wang J.,Journal of Environmental Chemical Engineering,Journal,,nan,13,1,,2025-02-01,2025,2,,7,ar,Article,,0
SCOPUS_ID:85207908227,2-s2.0-85207908227,10.1016/j.cma.2024.117474,S0045782524007291,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85207908227,Finite element-integrated neural network framework for elastic and elastoplastic solids,Zhang N.,Computer Methods in Applied Mechanics and Engineering,Journal,00457825,nan,433,,,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:85207730274,2-s2.0-85207730274,10.1016/j.ijnurstu.2024.104928,S0020748924002414,39467491,,,,,https://api.elsevier.com/content/abstract/scopus_id/85207730274,The effectiveness of yoga on menopausal symptoms: A systematic review and meta-analysis of randomized controlled trials,Wang H.,International Journal of Nursing Studies,Journal,00207489,nan,161,,,2025-01-01,2025,1,,7,re,Review,,0
SCOPUS_ID:85206973488,2-s2.0-85206973488,10.1038/s41565-024-01807-x,,39433919,,,,,https://api.elsevier.com/content/abstract/scopus_id/85206973488,Out-of-plane coordination of iridium single atoms with organic molecules and cobalt–iron hydroxides to boost oxygen evolution reaction,Zhao J.,Nature Nanotechnology,Journal,17483387,nan,20,1,57-66,2025-01-01,2025,1,,7,ar,Article,,1
SCOPUS_ID:85205440451,2-s2.0-85205440451,10.1002/adfm.202415090,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85205440451,Halogenation Engineering of Solid Additives Enables 19.39% Efficiency and Stable Binary Organic Solar Cells via Manipulating Molecular Stacking and Aggregation of Both Donor and Acceptor Components,Su W.,Advanced Functional Materials,Journal,1616301X,nan,35,6,,2025-02-05,2025,2,,7,ar,Article,,0
SCOPUS_ID:85200631971,2-s2.0-85200631971,10.1016/j.measurement.2024.115439,S0263224124013241,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85200631971,Key parameters and effects in image processing and aggregate–aggregate contact calculation of asphalt mixtures,Shi L.,Measurement: Journal of the International Measurement Confederation,Journal,02632241,nan,239,,,2025-01-15,2025,1,,7,ar,Article,,0
SCOPUS_ID:85182248575,2-s2.0-85182248575,10.1080/10447318.2023.2301253,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85182248575,How Does Aesthetic Design Affect Continuance Intention in In-Vehicle Infotainment Systems? An Exploratory Study,Jiang Q.,International Journal of Human-Computer Interaction,Journal,10447318,nan,41,1,429-444,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:85181562600,2-s2.0-85181562600,10.1109/TEVC.2023.3349250,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85181562600,Evolutionary Multitask Optimization with Lower Confidence Bound-Based Solution Selection Strategy,Wang Z.,IEEE Transactions on Evolutionary Computation,Journal,1089778X,nan,29,1,132-144,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:85179934470,2-s2.0-85179934470,10.1080/17405904.2023.2289448,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85179934470,Blessing or curse? Recontextualizing ‘996’ in China's overwork debate,Liu M.,Critical Discourse Studies,Journal,17405904,nan,22,1,91-107,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:105002313933,2-s2.0-105002313933,10.1080/01434632.2023.2230184,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105002313933,Nigerian students’ attitudes toward endonormative varieties of Nigerian English,Aboh S.C.,Journal of Multilingual and Multicultural Development,Journal,01434632,nan,46,4,1215-1228,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:105001955789,2-s2.0-105001955789,10.1080/07352166.2023.2208757,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105001955789,District government as a policy entrepreneur: Understanding policy experimentation in China’s Wujin District,Zhou C.,Journal of Urban Affairs,Journal,07352166,nan,47,3,900-922,2025-01-01,2025,1,,7,ar,Article,,0
SCOPUS_ID:105001829117,2-s2.0-105001829117,10.1016/j.iot.2024.101387,S2542660524003287,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/105001829117,"IoT contributions to the safety of construction sites: A comprehensive review of recent advances, limitations, and suggestions for future directions",Elrifaee M.,Internet of Things (The Netherlands),Journal,,nan,31,,,2025-05-01,2025,5,,7,re,Review,,0
SCOPUS_ID:86000735612,2-s2.0-86000735612,10.1177/10963480241229237,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000735612,Investigating the Formation of Ethical Animal-Related Tourism Behaviors: A Self-Interest and Pro-Social Theoretic Approach,Fakfare P.,Journal of Hospitality and Tourism Research,Journal,10963480,nan,49,3,581-599,2025-03-01,2025,3,,6,ar,Article,,0
SCOPUS_ID:86000430216,2-s2.0-86000430216,10.1109/TNNLS.2024.3371781,,38551826,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000430216,Deep Reinforcement Learning for Solving Vehicle Routing Problems with Backhauls,Wang C.,IEEE Transactions on Neural Networks and Learning Systems,Journal,2162237X,nan,36,3,4779-4793,2025-01-01,2025,1,,6,ar,Article,,0
SCOPUS_ID:86000379478,2-s2.0-86000379478,10.1080/02508281.2023.2196488,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/86000379478,Legitimacy in co-creating tourism value through customer-to-customer (C2C) online travel communities,Johnson A.G.,Tourism Recreation Research,Journal,02508281,nan,50,1,74-90,2025-01-01,2025,1,,6,ar,Article,,1
SCOPUS_ID:85214830784,2-s2.0-85214830784,10.1016/j.jbiomech.2025.112517,S0021929025000272,39823845,,,,,https://api.elsevier.com/content/abstract/scopus_id/85214830784,The influence of simulated worn shoe and foot inversion on heel internal biomechanics during running impact: A subject-specific finite element analysis,Song Y.,Journal of Biomechanics,Journal,00219290,nan,180,,,2025-02-01,2025,2,,6,ar,Article,,1
SCOPUS_ID:85214584371,2-s2.0-85214584371,10.1016/j.istruc.2025.108224,S2352012425000384,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85214584371,Machine learning-based probabilistic prediction model for chloride concentration in the interfacial zone of precast and cast-in-place concrete structures,Yang Y.,Structures,Journal,,nan,72,,,2025-02-01,2025,2,,6,ar,Article,,0
SCOPUS_ID:85214036152,2-s2.0-85214036152,10.1038/s41467-024-55414-4,,39747020,,,,,https://api.elsevier.com/content/abstract/scopus_id/85214036152,Highly stable perovskite solar cells with 0.30 voltage deficit enabled by a multi-functional asynchronous cross-linking,Liang Q.,Nature Communications,Journal,,nan,16,1,,2025-12-01,2025,12,,6,ar,Article,,1
SCOPUS_ID:85210995170,2-s2.0-85210995170,10.1016/j.engstruct.2024.119405,S0141029624019679,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85210995170,Interfacial shear behavior between prefabricated Strain-Hardening Ultra-High-Performance Concrete (SH-UHPC) and cast-in-place concrete,Weng K.F.,Engineering Structures,Journal,01410296,nan,325,,,2025-02-15,2025,2,,6,ar,Article,,0
SCOPUS_ID:85209563933,2-s2.0-85209563933,10.1016/j.ejon.2024.102708,S1462388924002060,39631144,,,,,https://api.elsevier.com/content/abstract/scopus_id/85209563933,Navigating specific targets of breast cancer symptoms: An innovative computer-simulated intervention analysis,Liang M.,European Journal of Oncology Nursing,Journal,14623889,nan,74,,,2025-02-01,2025,2,,6,ar,Article,,0
SCOPUS_ID:85209358956,2-s2.0-85209358956,10.1016/j.tws.2024.112681,S0263823124011212,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85209358956,Patch-loading resistance of QN1803 and S32001 high-strength stainless steel plate girders: Experimental study and numerical simulation,Chen B.,Thin-Walled Structures,Journal,02638231,nan,206,,,2025-01-01,2025,1,,6,ar,Article,,0
